citing,cited,Proximity ,index,title
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A20,968,20,"Y. Benabbas, N. Ihaddadene, and C. Djeraba, Motion pattern extraction
and event detection for automatic visual surveillance, Journal on Image
and Video Processing, vol. 7, pp. 1-15, 2011."
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A21,988,21," W. P. Bouberima, M. Nadif, and Y. K. Bencheikh, ”Clustering using EM
and CEM, cluster number selection via the von Mises-Fisher mixture
models.” Int. J. Open Problems Compt. Math., Vol. 6, No. 1, 2013"
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A22,1165,22," A. Bhattacharyya, ”On a measure of divergence between two statistical populations defined by their probability distributions.” Bull. Calcutta Math. Soc. 35, 99-109, 1943."
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A23,1295,23," S. Ali and M. Shah, ”A Lagrangian Particle Dynamics Approach for
Crowd Flow Segmentation and Stability Analysis,” IEEE International
Conference on Computer Vision and Pattern Recognition (CVPR), 2007."
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A24,1688,24,"Unusual crowd activity dataset of University of Minnesota, available
from http://mha.cs.umn.edu/movies/crowdactivity- all.avi."
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A25,1697,25,"R. Mehran, B. E. Moore, and M. Shah, A streakline representation of
flow in crowded scenes, in European Conference on Computer Vision,
pp. 439-452, 2010."
ABNORMAL CROWD BEHAVIOR DETECTION USING SPEED AND DIRECTION MODELS,A26,1981,26,"Y. Benabbas, N. Ihaddadene, and C. Djeraba, Motion pattern extraction
and event detection for automatic visual surveillance, Journal on Image
and Video Processing, vol. 7, pp. 1-15, 2011."
ANOMALY DETECTION AND LOCALIZATION,B1,36,27,"Helbing D, Molnar P. Social force model for pedestrian dynamics[J]. Ph
ysical review E, 1995, 51(5): 4282. "
ANOMALY DETECTION AND LOCALIZATION,B2,199,28,"Mahadevan V, Li W, Bhalodia V, et al. Anomaly detection in crowded s
cenes[C]//Computer Vision and Pattern Recognition (CVPR), 2010 IEE
E Conference on. IEEE, 2010: 1975-1981. "
ANOMALY DETECTION AND LOCALIZATION,B3,239,29,"Kratz L, Nishino K. Anomaly detection in extremely crowded scenes us
ing spatio-temporal motion pattern models[C]//Computer Vision and Pa
ttern Recognition, 2009. CVPR 2009. IEEE Conference on. IEEE, 2009:
 1446-1453"
ANOMALY DETECTION AND LOCALIZATION,B4,261,30,"Cong Y, Yuan J, Liu J. Sparse reconstruction cost for abnormal event de tection[C]//Computer Vision and Pattern Recognition (CVPR), 2011 IE EE Conference on. IEEE, 2011: 3449-3456."
ANOMALY DETECTION AND LOCALIZATION,B5,362,31,"Ren H, Moeslund T B. Abnormal event detection using local sparse repr
esentation[C]//Advanced Video and Signal Based Surveillance (AVSS),
 2014 11th IEEE International Conference on. IEEE, 2014: 125-130"
ANOMALY DETECTION AND LOCALIZATION,B6,389,32, https://blog.csdn.net/lwzkiller/article/details/54633670 
ANOMALY DETECTION AND LOCALIZATION,B7,444,33,"Lowe D G. Distinctive image features from scale-invariant keypoints[J].
 International journal of computer vision, 2004, 60(2): 91-110."
ANOMALY DETECTION AND LOCALIZATION,B8,834,34,"Baker S, Matthews I. Lucas-kanade 20 years on: A unifying framework
[J]. International journal of computer vision, 2004, 56(3): 221-255. "
ANOMALY DETECTION AND LOCALIZATION,B9,1209,35,UMN: Abnormal Crowd Activity Dataset: http://mha.cs.umn.edu/Movie s/Crowd-Activity-All.avi.
ANOMALY DETECTION AND LOCALIZATION,B10,1234,36,"Chui H, Rangarajan A. A new point matching algorithm for non-rigid re gistration[J]. Computer Vision and Image Understanding, 2003, 89(2-3): 114-141."
ANOMALY DETECTION AND LOCALIZATION,B11,2181,37,"Messing R, Pal C, Kautz H. Activity recognition using the velocity histo ries of tracked keypoints[C]//Computer Vision, 2009 IEEE 12th Internat ional Conference on. IEEE, 2009: 104-111"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C1,12,38,"] J. C. S. J. Junior, S. R. Musse, and C. R. Jung. Crowd analysis using computer vision techniques. IEEE Signal Processing Magazine, 27(5):66–77, 2010."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C2,12,39,"B. Zhan, D. N. Monekosso, P. Remagnino, S. A. Velastin, and L.-Q. Xu. Crowd analysis: a survey. Machine Vision and Applications, 19(5-6):345–357, 2008"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C3,23,40,"T. Li, H. Chang, M. Wang, B. Ni, R. Hong, and S. Yan. Crowded scene analysis: A survey. IEEE transactions on circuits and systems for video technology, 25(3):367–386, 2015."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C4,23,41,"D. Onoro-Rubio and R. J. Lopez-Sastre. Towards ´ perspective-free object counting with deep learning. In European Conference on Computer Vision, pages 615–629. Springer, 2016"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C5,23,42,"S. Zhang, G. Wu, J. P. Costeira, and J. M. Moura. Understanding traffic density from large-scale web camera data. arXiv preprint arXiv:1703.05868, 2017."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C6,61,43,"D. Onoro-Rubio and R. J. Lopez-Sastre. Towards ´ perspective-free object counting with deep learning. In European Conference on Computer Vision, pages 615–629. Springer, 2016"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C7,61,44,"D. Onoro-Rubio and R. J. Lopez-Sastre. Towards ´ perspective-free object counting with deep learning. In European Conference on Computer Vision, pages 615–629. Springer, 2016"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C8,61,45,"D. B. Sam, S. Surya, and R. V. Babu. Switching convolutional neural network for crowd counting. 2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2017."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C9,156,46,"J. Johnson, A. Alahi, and L. Fei-Fei. Perceptual losses for real-time style transfer and super-resolution. In European Conference on Computer Vision, pages 694–711. Springer, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C10,372,47,"P. Isola, J.-Y. Zhu, T. Zhou, and A. A. Efros. Imageto-image translation with conditional adversarial networks. arXiv preprint arXiv:1611.07004, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C11,402,48,"] O. Ronneberger, P. Fischer, and T. Brox. U-net: Convolutional networks for biomedical image segmentation. In International Conference on Medical Image Computing and Computer-Assisted Intervention, pages 234–241. Springer, 2015"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C12,584,49,"B. Wu and R. Nevatia. Detection of multiple, partially occluded humans in a single image by bayesian combination of edgelet part detectors. Tenth IEEE International Conference on Computer Vision (ICCV’05) Volume 1, 1:90–97 Vol. 1, 2005"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C13,584,50,"Z. L. Lin and L. S. Davis. Shape-based human detection and segmentation via hierarchical part-template matching. IEEE Transactions on Pattern Analysis and Machine Intelligence, 32:604–618, 2010."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C14,584,51,"M. Wang and X. Wang. Automatic adaptation of a generic pedestrian detector to a specific traffic scene. In CVPR, 2011."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C15,598,52,"S. An, W. Liu, and S. Venkatesh. Face recognition using kernel ridge regression. 2007 IEEE Conference on Computer Vision and Pattern Recognition, pages 1–7, 2007"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C16,598,53,"K. Chen, C. C. Loy, S. Gong, and T. Xiang. Feature mining for localised crowd counting. In BMVC, 2012."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C17,598,54,"A. B. Chan, Z.-S. J. Liang, and N. Vasconcelos. Privacy preserving crowd monitoring: Counting people without people models or tracking. 2008 IEEE Conference on Computer Vision and Pattern Recognition, pages 1–7, 2008."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C18,598,55,"D. Kong, D. Gray, and H. Tao. A viewpoint invariant approach for crowd counting. In ICPR, 2006."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C19,598,56,"A. Bansal and K. S. Venkatesh. People counting in high density crowds from still images. CoRR, abs/1507.08445, 2015."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C20,598,57,"V. Rabaud and S. J. Belongie. Counting crowded moving objects. 2006 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR’06), 1:705–711, 2006."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C21,598,58,"G. J. Brostow and R. Cipolla. Unsupervised bayesian detection of independent motion in crowds. 2006 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR’06), 1:594–601, 2006."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C22,635,59,"C. Zhang, H. Li, X. Wang, and X. Yang. Cross-scene crowd counting via deep convolutional neural networks. 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), pages 833–841, 2015."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C23,667,60,"V. A. Sindagi and V. M. Patel. A survey of recent advances in cnn-based single image crowd counting and density estimation. Pattern Recognition Letters, 2017"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C24,670,61,"V. A. Sindagi and V. M. Patel. A survey of recent advances in cnn-based single image crowd counting and density estimation. Pattern Recognition Letters, 2017"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C25,702,62,"C. Zhang, H. Li, X. Wang, and X. Yang. Cross-scene crowd counting via deep convolutional neural networks. 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), pages 833–841, 2015"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C26,768,63,"C. Zhang, H. Li, X. Wang, and X. Yang. Cross-scene crowd counting via deep convolutional neural networks. 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), pages 833–841, 2015"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C27,768,64,"L. Boominathan, S. S. Kruthiventi, and R. V. Babu. Crowdnet: A deep convolutional network for dense crowd counting. In ACM Multimedia, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C28,869,65,"D. B. Sam, S. Surya, and R. V. Babu. Switching convolutional neural network for crowd counting. 2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2017"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C29,872,66,"Y. Zhang, D. Zhou, S. Chen, S. Gao, and Y. Ma. Singleimage crowd counting via multi-column convolutional neural network. 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), pages 589–597, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C30,987,67,"V. A. Sindagi and V. M. Patel. Generating high-quality crowd density maps using contextual pyramid cnns. 2017 IEEE International Conference on Computer Vision, 2017"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C31,1087,68,"C. Zhang, H. Li, X. Wang, and X. Yang. Cross-scene crowd counting via deep convolutional neural networks. 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), pages 833–841, 2015"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C32,1087,69,"Y. Zhang, D. Zhou, S. Chen, S. Gao, and Y. Ma. Singleimage crowd counting via multi-column convolutional neural network. 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), pages 589–597, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C33,1087,70,"L. Boominathan, S. S. Kruthiventi, and R. V. Babu. Crowdnet: A deep convolutional network for dense crowd counting. In ACM Multimedia, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C34,1087,71,"D. Onoro-Rubio and R. J. Lopez-Sastre. Towards ´ perspective-free object counting with deep learning. In European Conference on Computer Vision, pages 615–629. Springer, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C35,1087,72,"D. B. Sam, S. Surya, and R. V. Babu. Switching convolutional neural network for crowd counting. 2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2017"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C36,1101,73,"Y. Zhang, D. Zhou, S. Chen, S. Gao, and Y. Ma. Singleimage crowd counting via multi-column convolutional neural network. 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), pages 589–597, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C37,1101,74,"L. Boominathan, S. S. Kruthiventi, and R. V. Babu. Crowdnet: A deep convolutional network for dense crowd counting. In ACM Multimedia, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C39,1101,75,D. Onoro-Rubio and R. J. Lopez-Sastre. Towards ´ perspective-free object counting with deep learning. In European Confer
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C40,1101,76,"Y. Zhang, D. Zhou, S. Chen, S. Gao, and Y. Ma. Singleimage crowd counting via multi-column convolutional neural network. 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), pages 589–597, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C41,1185,77,"V. A. Sindagi and V. M. Patel. Generating high-quality crowd density maps using contextual pyramid cnns. 2017 IEEE International Conference on Computer Vision, 2017"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C42,1185,78,"P. Isola, J.-Y. Zhu, T. Zhou, and A. A. Efros. Imageto-image translation with conditional adversarial networks. arXiv preprint arXiv:1611.07004, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C43,1322,79,"P. Isola, J.-Y. Zhu, T. Zhou, and A. A. Efros. Imageto-image translation with conditional adversarial networks. arXiv preprint arXiv:1611.07004, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C44,1322,80,"P. Isola, J.-Y. Zhu, T. Zhou, and A. A. Efros. Imageto-image translation with conditional adversarial networks. arXiv preprint arXiv:1611.07004, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C45,1544,81,"P. Isola, J.-Y. Zhu, T. Zhou, and A. A. Efros. Imageto-image translation with conditional adversarial networks. arXiv preprint arXiv:1611.07004, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C46,1573,82,"D. Pathak, P. Krahenbuhl, J. Donahue, T. Darrell, and A. A. Efros. Context encoders: Feature learning by inpainting. In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition, pages 2536–2544, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C47,1573,83,"J. Johnson, A. Alahi, and L. Fei-Fei. Perceptual losses for real-time style transfer and super-resolution. In European Conference on Computer Vision, pages 694–711. Springer, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C48,1573,84,"O. Ronneberger, P. Fischer, and T. Brox. U-net: Convolutional networks for biomedical image segmentation. In International Conference on Medical Image Computing and Computer-Assisted Intervention, pages 234–241. Springer, 2015"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C49,1575,85,"I. J. Goodfellow, J. Pouget-Abadie, M. Mirza, B. Xu, D. Warde-Farley, S. Ozair, A. Courville, and Y. Bengio. Generative adversarial networks. Advances in Neural Information Processing Systems, 3:2672–2680, 2014."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C50,1826,86,"A. Radford, L. Metz, and S. Chintala. Unsupervised representation learning with deep convolutional generative adversarial networks. arXiv preprint arXiv:1511.06434, 2015."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C51,1826,87,"Y. Li, S. Liu, J. Yang, and M.-H. Yang. Generative face completion. 2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2017."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C52,1826,88,"C. Ledig, L. Theis, F. Huszar, J. Caballero, A. Cunningham, ´ A. Acosta, A. Aitken, A. Tejani, J. Totz, Z. Wang, et al. Photo-realistic single image super-resolution using a generative adversarial network. arXiv preprint arXiv:1609.04802, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C53,1826,89,"M. Mathieu, C. Couprie, and Y. LeCun. Deep multi-scale video prediction beyond mean square error. arXiv preprint arXiv:1511.05440, 2015"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C54,1826,90,"A. B. L. Larsen, S. K. Sønderby, H. Larochelle, and O. Winther. Autoencoding beyond pixels using a learned similarity metric. arXiv preprint arXiv:1512.09300, 2015."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C55,2130,91,"I. J. Goodfellow, J. Pouget-Abadie, M. Mirza, B. Xu, D. Warde-Farley, S. Ozair, A. Courville, and Y. Bengio. Generative adversarial networks. Advances in Neural Information Processing Systems, 3:2672–2680, 2014."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C56,2169,92,"A. Radford, L. Metz, and S. Chintala. Unsupervised representation learning with deep convolutional generative adversarial networks. arXiv preprint arXiv:1511.06434, 2015"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C57,2205,93,"P. Isola, J.-Y. Zhu, T. Zhou, and A. A. Efros. Imageto-image translation with conditional adversarial networks. arXiv preprint arXiv:1611.07004, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C58,2210,94,"P. Isola, J.-Y. Zhu, T. Zhou, and A. A. Efros. Imageto-image translation with conditional adversarial networks. arXiv preprint arXiv:1611.07004, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C59,2309,95,"D. Pathak, P. Krahenbuhl, J. Donahue, T. Darrell, and A. A. Efros. Context encoders: Feature learning by inpainting. In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition, pages 2536–2544, 2016"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C60,2338,96,"H. Zhang, V. Sindagi, and V. M. Patel. Image de-raining using a conditional generative adversarial network. arXiv preprint arXiv:1701.05957, 2017."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C61,2430,97,"J. Johnson, A. Alahi, and L. Fei-Fei. Perceptual losses for real-time style transfer and super-resolution. In European Conference on Computer Vision, pages 694–711. Springer, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C62,2869,98,"K. Simonyan and A. Zisserman. Very deep convolutional networks for large-scale image recognition. arXiv preprint arXiv:1409.1556, 2014."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C63,2962,99,"C. Zhang, H. Li, X. Wang, and X. Yang. Cross-scene crowd counting via deep convolutional neural networks. 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), pages 833–841, 2015."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C64,3183,100,"H. Zhang, V. Sindagi, and V. M. Patel. Image de-raining using a conditional generative adversarial network. arXiv preprint arXiv:1701.05957, 2017."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C65,3306,101,"Y. Zhang, D. Zhou, S. Chen, S. Gao, and Y. Ma. Singleimage crowd counting via multi-column convolutional neural network. 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), pages 589–597, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C66,3395,102,"Y. Zhang, D. Zhou, S. Chen, S. Gao, and Y. Ma. Singleimage crowd counting via multi-column convolutional neural network. 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), pages 589–597, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C67,3425,103,"C. Zhang, H. Li, X. Wang, and X. Yang. Cross-scene crowd counting via deep convolutional neural networks. 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), pages 833–841, 2015"
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C68,3459,104,"H. Idrees, I. Saleemi, C. Seibert, and M. Shah. Multi-source multi-scale counting in extremely dense crowd images. In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition, pages 2547–2554, 2013."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C69,3538,105,"H. Idrees, I. Saleemi, C. Seibert, and M. Shah. Multi-source multi-scale counting in extremely dense crowd images. In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition, pages 2547–2554, 2013."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C70,3662,106,"Y. Zhang, D. Zhou, S. Chen, S. Gao, and Y. Ma. Singleimage crowd counting via multi-column convolutional neural network. 2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), pages 589–597, 2016."
Crowd Counting Via Adversarial Cross-Scale Consistancy Pursuit,C71,3664,107,"] J. C. S. J. Junior, S. R. Musse, and C. R. Jung. Crowd analysis using computer vision techniques. IEEE Signal Processing Magazine, 27(5):66–77, 2010."
Deep Density-Aware Count Regressor,D1,79,108,"W. Ge and R. T. Collins, ""Marked point processes for crowd counting,"" 2009 IEEE Conference on Computer Vision and Pattern Recognition, Miami, FL, 2009, pp. 2913-2920."
Deep Density-Aware Count Regressor,D2,79,109,"Viola, Jones and Snow, ""Detecting pedestrians using patterns of motion and appearance,"" Proceedings Ninth IEEE International Conference on Computer Vision, Nice, France, 2003, pp. 734-741 vol.2."
Deep Density-Aware Count Regressor,D3,79,110,"J. Gall, A. Yao, N. Razavi, L. Van Gool and V. Lempitsky, ""Hough Forests for Object Detection, Tracking, and Action Recognition,"" in IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 33, no. 11, pp. 2188-2202, Nov. 2011."
